year;sex;age;s_pop;f_dead;f_born;f_immig_pop;f_immig_cvd;f_immig_cancer;f_cancer_pop;f_pop_cvd;f_cvd_pop;f_cancer_dead;f_cvd_dead;dcost_unit_cancer;icost_unit_cancer;dcost_unit_cvd;icost_unit_cvd;dcost_cancer;dcost_cvd;icost_cancer;icost_cvd;dcost_growth_cancer;dcost_growth_cvd;prev_fruit;prev_wholegrains;prev_greens;prev_meat;prev_salt;paf_cancer_fruit;paf_cancer_wholegrains;paf_cancer_greens;paf_cancer_meat;paf_cancer_salt;paf_cvd_fruit;paf_cvd_wholegrains;paf_cvd_greens;paf_cvd_meat;paf_cvd_salt;s_cancer;s_cvd;s_dead_cancer;s_dead_cvd;s_dead;f_emig_pop;f_emig_cvd;f_emig_cancer;f_pop_cancer;dr;dr_cancer;dr_cvd;prev_alcohol;prev_obesity;prev_smoking;prev_inactivity;paf_cvd_other;paf_cvd_smoking;paf_cvd_inactivity;paf_cvd_obesity;paf_cvd_alcohol;cpaf_diet_cvd;p_pop_cvd;paf_cancer_other;paf_cancer_smoking;paf_cancer_inactivity;paf_cancer_obesity;paf_cancer_alcohol;cpaf_diet_cancer;p_pop_cancer;calibration_cancer;calibration_cvd;calibration_mortality
2021;1;77;25444;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;5419;17044;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;78;21998;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;4997;15878;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;79;18710;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;4546;15031;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;80;15025;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3909;12960;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;81;13010;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3545;12179;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;82;11750;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3217;11809;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;83;9867;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2970;10788;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;84;8065;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2615;9844;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;85;7082;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2231;8819;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;86;5578;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2029;7760;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;87;4494;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1687;6724;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;88;3887;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1396;5795;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;89;3237;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1179;5073;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;90;2563;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1014;4369;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;91;2023;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;746;3548;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;92;1511;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;589;2710;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;93;1202;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;441;2082;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;94;841;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;348;1562;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;95;603;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;245;1123;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;96;425;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;177;778;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;97;287;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;115;514;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;98;212;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;76;321;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;99;106;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;55;202;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;100;152;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;47;237;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;0;55971;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;1;55855;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;2;57016;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;3;58325;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;4;58887;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;5;61053;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;6;59628;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;7;60715;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;8;60232;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;9;60994;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;10;60436;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;11;62677;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;12;61092;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;13;60418;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;14;59602;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;32;40;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;15;59241;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;65;73;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;16;57496;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;59;111;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;17;56918;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;60;154;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;18;56327;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;66;318;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;19;54964;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;78;479;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;20;52860;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;62;494;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;21;53144;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;62;521;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;22;52982;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;81;486;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;2;23;53907;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;81;510;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
