AR;alder;Kon;prev_cvd;prev_ccr;totpop
2013;29;1;601;140;62152
2013;29;2;550;168;58742
2013;30;1;676;148;61032
2013;30;2;518;185;57777
2013;31;1;650;150;61381
2013;31;2;584;253;58283
2013;32;1;647;152;60662
2013;32;2;615;253;58177
2013;33;1;685;177;62577
2013;33;2;662;284;60030
2013;34;1;730;196;61076
2013;34;2;666;291;58584
2013;35;1;702;219;59133
2013;35;2;694;283;57041
2013;36;1;845;197;60251
2013;36;2;732;341;57770
2013;37;1;914;218;60994
2013;37;2;778;398;58772
2013;38;1;984;246;63244
2013;38;2;819;412;61283
2013;39;1;1152;293;65979
2013;39;2;969;477;64002
2013;40;1;1202;280;64864
2013;40;2;996;502;63197
2013;41;1;1285;288;65922
2013;41;2;963;610;64284
2013;42;1;1415;318;65947
2013;42;2;1086;636;64244
2013;43;1;1590;318;64199
2013;43;2;1153;672;62832
2013;44;1;1623;326;63307
2013;44;2;1114;723;61605
2013;45;1;1898;394;65961
2013;45;2;1296;846;64403
2013;46;1;2111;409;69635
2013;46;2;1440;941;67131
2013;47;1;2338;441;70268
2013;47;2;1577;1066;67598
2013;48;1;2724;536;70248
2013;48;2;1664;1200;67700
2013;49;1;2934;590;69550
2013;49;2;1882;1246;67702
2013;50;1;3017;567;65196
2013;50;2;1923;1194;62632
2013;51;1;3132;667;61693
2013;51;2;1965;1210;60067
2013;52;1;3466;764;59598
2013;52;2;1997;1324;58084
2013;53;1;3677;814;58437
2013;53;2;2207;1310;57569
2013;54;1;4107;842;58786
2013;54;2;2273;1358;57427
2013;55;1;4515;1049;58325
2013;55;2;2525;1359;57271
2013;56;1;4916;1172;58478
2013;56;2;2691;1486;58164
2013;57;1;5477;1304;58890
2013;57;2;2860;1500;57659
2013;58;1;5772;1426;57276
2013;58;2;3137;1571;57185
2013;59;1;6208;1654;55937
2013;59;2;3236;1634;55747
2013;60;1;6818;1852;57136
2013;60;2;3589;1804;56829
2013;61;1;7299;2027;56137
2013;61;2;3875;1984;56352
2013;62;1;7840;2225;55056
2013;62;2;4158;2016;55694
2013;63;1;8948;2573;57391
2013;63;2;4658;2233;57647
2013;64;1;9649;2980;58722
2013;64;2;5220;2383;59718
2013;65;1;10855;3256;60122
2013;65;2;5890;2598;61595
2013;66;1;11717;3602;60258
