;year;age;rate;sex
2468;2092;44;0.0003199312791;2
2469;2092;45;0.0003497734642654;2
2470;2092;46;0.000383218988382;2
2471;2092;47;0.0004203623941447;2
2472;2092;48;0.0004612981069241;2
2473;2092;49;0.0005061445189888;2
2474;2092;50;0.0005550710702893;2
2475;2092;51;0.0006083242970095;2
2476;2092;52;0.0006662485615091;2
2477;2092;53;0.0007292978255554;2
2478;2092;54;0.0007980362136351;2
2479;2092;55;0.0008731269264084;2
2480;2092;56;0.0009553110112071;2
2481;2092;57;0.0010453794003662;2
2482;2092;58;0.0011441434328682;2
2483;2092;59;0.0012524107506765;2
2484;2092;60;0.0013709748781332;2
2485;2092;61;0.0015006276440847;2
2486;2092;62;0.0016422034525627;2
2487;2092;63;0.0017966628601075;2
2488;2092;64;0.001965219905321;2
2489;2092;65;0.0021495136298084;2
2490;2092;66;0.0023518202683489;2
2491;2092;67;0.002575300013895;2
2492;2092;68;0.002824272227501;2
2493;2092;69;0.0031045158845187;2
2494;2092;70;0.00342359732273;2
2495;2092;71;0.0037912334623179;2
2496;2092;72;0.0042197036182655;2
2497;2092;73;0.0047243249704751;2
2498;2092;74;0.0053240044465986;2
2499;2092;75;0.0060418727966339;2
2500;2092;76;0.0069059954867998;2
2501;2092;77;0.0079501411591478;2
2502;2092;78;0.0092145743553408;2
2503;2092;79;0.0107468288608326;2
2504;2092;80;0.0126024165117036;2
2505;2092;81;0.0148454392726927;2
2506;2092;82;0.0175491043571601;2
2507;2092;83;0.0207961940301331;2
2508;2092;84;0.0246796083701126;2
2509;2092;85;0.0293031684252651;2
2510;2092;86;0.0347829213272743;2
2511;2092;87;0.0412492101661118;2
2512;2092;88;0.048849748582033;2
2513;2092;89;0.0577538745237793;2
2514;2092;90;0.0681580653196297;2
2515;2092;91;0.080292703540144;2
2516;2092;92;0.0944300187741804;2
2517;2092;93;0.110893115961626;2
2518;2092;94;0.130066043902361;2
2519;2092;95;0.152404948674759;2
2520;2092;96;0.178450469737915;2
2521;2092;97;0.208841628727402;2
2522;2092;98;0.244331472030329;2
2523;2092;99;0.285804578136719;2
2524;2092;100;0.334296130498868;2
2525;2092;0;0.00226;1
2526;2092;1;0.0002;1
2527;2092;2;7e-05;1
2528;2092;3;0.00015;1
2529;2092;4;0.00013;1
2530;2092;5;3e-05;1
2531;2092;6;6e-05;1
2532;2092;7;9e-05;1
2533;2092;8;8e-05;1
2534;2092;9;8e-05;1
2535;2092;10;3e-05;1
2536;2092;11;6e-05;1
2537;2092;12;5e-05;1
2538;2092;13;0.00012;1
2539;2092;14;0.00014;1
2540;2092;15;0.00011;1
2541;2092;16;0.00021;1
2542;2092;17;0.00033;1
2543;2092;18;0.00036;1
2544;2092;19;0.0006;1
2545;2092;20;0.000402324365354;1
2546;2092;21;0.0004200475023763;1
2547;2092;22;0.0004381647509166;1
2548;2092;23;0.0004560901373523;1
2549;2092;24;0.0004730418628009;1
2550;2092;25;0.0004881564962366;1
2551;2092;26;0.0005006225485626;1
2552;2092;27;0.0005098158672611;1
2553;2092;28;0.0005154124103549;1
2554;2092;29;0.0005174549854185;1
2555;2092;30;0.0005163603776874;1
2556;2092;31;0.0005128685637352;1
2557;2092;32;0.0005079502969265;1
2558;2092;33;0.0005026976379989;1
2559;2092;34;0.0004982216812321;1
2560;2092;35;0.0004955744449358;1
2561;2092;36;0.000495701688114;1
2562;2092;37;0.0004994243112549;1
2563;2092;38;0.0005074403669067;1
2564;2092;39;0.0005203379485865;1
2565;2092;40;0.0005386104490265;1
2566;2092;41;0.0005626685789593;1
2567;2092;42;0.0005928470004642;1
2568;2092;43;0.0006294066947485;1
2569;2092;44;0.0006725367442871;1
2570;2092;45;0.0007223606524382;1
2571;2092;46;0.0007789522984284;1
2572;2092;47;0.0008423649585413;1
2573;2092;48;0.0009126737136693;1
2574;2092;49;0.0009900276877968;1
2575;2092;50;0.0010747049666228;1
2576;2092;51;0.001167160796262;1
2577;2092;52;0.0012680594274144;1
2578;2092;53;0.0013782817724601;1
2579;2092;54;0.0014989043329695;1
2580;2092;55;0.0016311488689311;1
2581;2092;56;0.0017763064486925;1
2582;2092;57;0.0019356436750376;1
2583;2092;58;0.0021103031508278;1
2584;2092;59;0.0023012146548959;1
2585;2092;60;0.0025090375403243;1
