AR;alder;Kon;inc_cvd;inc_ccr
2009;28;1;;28
2009;28;2;;43
2009;29;1;;31
2009;29;2;;31
2009;30;1;;31
2009;30;2;;53
2009;31;1;;41
2009;31;2;;39
2009;32;1;;38
2009;32;2;;56
2009;33;1;;38
2009;33;2;;71
2009;34;1;;50
2009;34;2;;76
2009;35;1;;54
2009;35;2;;73
2009;36;1;;48
2009;36;2;;73
2009;37;1;;55
2009;37;2;;97
2009;38;1;;58
2009;38;2;;89
2009;39;1;;67
2009;39;2;;102
2009;40;1;;62
2009;40;2;;122
2009;41;1;;79
2009;41;2;;154
2009;42;1;;92
2009;42;2;;170
2009;43;1;;88
2009;43;2;;190
2009;44;1;;103
2009;44;2;;190
2009;45;1;;102
2009;45;2;;242
2009;46;1;;99
2009;46;2;;223
2009;47;1;;110
2009;47;2;;228
2009;48;1;;128
2009;48;2;;247
2009;49;1;;137
2009;49;2;;257
2009;50;1;;165
2009;50;2;;293
2009;51;1;;204
2009;51;2;;280
2009;52;1;;213
2009;52;2;;306
2009;53;1;;242
2009;53;2;;311
2009;54;1;;287
2009;54;2;;336
2009;55;1;;330
2009;55;2;;343
2009;56;1;;344
2009;56;2;;350
2009;57;1;;427
2009;57;2;;428
2009;58;1;;470
2009;58;2;;408
2009;59;1;;562
2009;59;2;;481
2009;60;1;;622
2009;60;2;;510
2009;61;1;;722
2009;61;2;;591
2009;62;1;;797
2009;62;2;;605
2009;63;1;;908
2009;63;2;;698
2009;64;1;;1001
2009;64;2;;733
2009;65;1;;1112
2009;65;2;;750
2009;66;1;;1108
2009;66;2;;750
2009;67;1;;1056
2009;67;2;;734
2009;68;1;;942
2009;68;2;;686
2009;69;1;;927
2009;69;2;;621
2009;70;1;;963
2009;70;2;;648
2009;71;1;;948
2009;71;2;;632
2009;72;1;;930
2009;72;2;;660
2009;73;1;;929
2009;73;2;;644
2009;74;1;;875
2009;74;2;;652
2009;75;1;;876
2009;75;2;;584
2009;76;1;;883
2009;76;2;;583
2009;77;1;;818
2009;77;2;;570
2009;78;1;;842
2009;78;2;;624
2009;79;1;;803
2009;79;2;;665
2009;80;1;;692
2009;80;2;;592
2009;81;1;;711
2009;81;2;;580
2009;82;1;;669
2009;82;2;;586
2009;83;1;;648
2009;83;2;;540
2009;84;1;;613
2009;84;2;;529
2009;85;1;;508
2009;85;2;;459
2009;86;1;;477
2009;86;2;;466
2009;87;1;;405
2009;87;2;;421
2009;88;1;;418
2009;88;2;;386
2009;89;1;;321
2009;89;2;;393
2009;90;1;;223
2009;90;2;;268
2009;91;1;;145
2009;91;2;;220
2009;92;1;;113
2009;92;2;;192
2009;93;1;;72
2009;93;2;;112
2009;94;1;;48
2009;94;2;;100
2009;95;1;;40
2009;95;2;;63
2009;96;1;;28
2009;96;2;;39
2009;97;1;;16
2009;97;2;;49
2009;98;1;;10
2009;98;2;;18
2009;99;1;;4
2009;99;2;;10
2009;100;1;;8
2009;100;2;;17
2010;3;1;0;12
2010;3;2;0;12
2010;4;1;0;12
2010;4;2;0;8
2010;5;1;0;10
2010;5;2;0;5
2010;6;1;0;16
2010;6;2;1;5
2010;7;1;0;6
2010;7;2;0;0
2010;8;1;0;1
2010;8;2;1;11
2010;9;1;0;5
2010;9;2;1;7
2010;10;1;0;6
2010;10;2;0;4
2010;11;1;0;5
2010;11;2;0;4
2010;12;1;0;11
2010;12;2;0;3
2010;13;1;0;3
2010;13;2;1;8
2010;14;1;1;6
2010;14;2;0;9
2010;15;1;0;9
2010;15;2;0;9
2010;16;1;0;20
2010;16;2;0;11
2010;17;1;0;15
2010;17;2;0;19
2010;18;1;1;19
2010;18;2;0;19
2010;19;1;2;31
2010;19;2;2;25
2010;20;1;124;25
2010;20;2;93;19
2010;21;1;128;23
2010;21;2;96;16
2010;22;1;95;24
2010;22;2;77;17
2010;23;1;113;22
2010;23;2;67;29
2010;24;1;93;25
2010;24;2;67;31
2010;25;1;96;24
2010;25;2;93;38
2010;26;1;98;27
2010;26;2;81;35
2010;27;1;96;26
2010;27;2;80;29
2010;28;1;95;34
2010;28;2;74;32
2010;29;1;109;32
2010;29;2;97;38
2010;30;1;105;37
2010;30;2;113;47
2010;31;1;120;40
2010;31;2;90;47
2010;32;1;101;45
2010;32;2;102;63
2010;33;1;117;44
2010;33;2;117;65
2010;34;1;128;37
2010;34;2;96;71
2010;35;1;152;33
2010;35;2;135;76
2010;36;1;157;66
2010;36;2;137;101
2010;37;1;169;43
2010;37;2;164;101
2010;38;1;190;65
2010;38;2;143;104
2010;39;1;163;56
2010;39;2;162;109
2010;40;1;210;50
2010;40;2;162;140
2010;41;1;232;72
2010;41;2;153;146
2010;42;1;276;71
2010;42;2;189;147
2010;43;1;290;75
2010;43;2;223;162
2010;44;1;372;100
2010;44;2;254;215
2010;45;1;404;102
2010;45;2;224;220
2010;46;1;460;133
2010;46;2;297;238
2010;47;1;444;106
2010;47;2;280;230
2010;48;1;487;148
2010;48;2;303;260
2010;49;1;475;139
2010;49;2;295;293
2010;50;1;578;144
2010;50;2;327;273
2010;51;1;575;178
2010;51;2;356;279
2010;52;1;613;218
2010;52;2;398;305
2010;53;1;735;242
2010;53;2;411;335
2010;54;1;847;297
2010;54;2;442;306
2010;55;1;737;325
2010;55;2;470;355
2010;56;1;870;329
2010;56;2;454;376
2010;57;1;975;432
2010;57;2;528;406
2010;58;1;1020;457
2010;58;2;555;436
2010;59;1;1162;511
2010;59;2;631;484
2010;60;1;1335;563
2010;60;2;723;535
2010;61;1;1353;703
2010;61;2;753;599
2010;62;1;1487;764
2010;62;2;831;636
2010;63;1;1565;813
2010;63;2;951;715
2010;64;1;1804;944
2010;64;2;1021;749
2010;65;1;2017;1048
2010;65;2;1119;741
2010;66;1;1984;1131
2010;66;2;1184;798
2010;67;1;1866;1099
2010;67;2;1261;771
2010;68;1;1852;1102
2010;68;2;1163;741
2010;69;1;1746;945
2010;69;2;1142;656
2010;70;1;1885;950
2010;70;2;1162;664
2010;71;1;1800;927
2010;71;2;1357;685
2010;72;1;1797;949
2010;72;2;1315;679
2010;73;1;1748;970
2010;73;2;1339;670
2010;74;1;1647;901
2010;74;2;1322;659
2010;75;1;1782;892
2010;75;2;1453;582
2010;76;1;1725;816
2010;76;2;1361;594
2010;77;1;1624;844
2010;77;2;1557;544
2010;78;1;1660;830
2010;78;2;1583;625
2010;79;1;1625;775
2010;79;2;1701;559
2010;80;1;1644;760
2010;80;2;1735;606
2010;81;1;1552;712
2010;81;2;1619;611
2010;82;1;1597;709
2010;82;2;1799;612
2010;83;1;1482;628
2010;83;2;1744;532
2010;84;1;1344;599
2010;84;2;1842;487
2010;85;1;1312;523
2010;85;2;1769;517
2010;86;1;1190;452
2010;86;2;1730;453
2010;87;1;1171;466
2010;87;2;1666;404
2010;88;1;1024;353
2010;88;2;1605;353
2010;89;1;914;285
2010;89;2;1530;346
2010;90;1;826;220
2010;90;2;1443;311
2010;91;1;565;171
2010;91;2;1063;195
2010;92;1;471;129
2010;92;2;867;172
2010;93;1;353;86
2010;93;2;707;147
2010;94;1;284;58
2010;94;2;571;107
2010;95;1;169;38
2010;95;2;440;84
2010;96;1;125;39
2010;96;2;360;66
2010;97;1;83;14
2010;97;2;237;34
2010;98;1;53;12
2010;98;2;140;26
2010;99;1;34;5
2010;99;2;100;11
2010;100;1;41;7
2010;100;2;144;19
2011;4;1;0;6
2011;4;2;0;12
2011;5;1;0;7
2011;5;2;0;6
2011;6;1;0;6
2011;6;2;0;2
2011;7;1;0;6
2011;7;2;0;6
2011;8;1;0;4
2011;8;2;0;5
2011;9;1;0;5
2011;9;2;0;3
2011;10;1;1;8
2011;10;2;0;6
2011;11;1;0;4
2011;11;2;0;7
2011;12;1;0;8
2011;12;2;0;5
2011;13;1;0;9
2011;13;2;0;13
2011;14;1;0;14
2011;14;2;0;8
2011;15;1;0;11
2011;15;2;0;3
2011;16;1;0;9
2011;16;2;0;9
2011;17;1;0;17
2011;17;2;0;15
2011;18;1;1;17
2011;18;2;1;18
2011;19;1;1;18
2011;19;2;1;18
2011;20;1;133;25
2011;20;2;103;22
2011;21;1;134;16
2011;21;2;105;12
2011;22;1;125;20
2011;22;2;84;16
2011;23;1;122;21
2011;23;2;85;30
2011;24;1;105;29
2011;24;2;100;27
2011;25;1;129;29
2011;25;2;78;36
2011;26;1;106;29
2011;26;2;75;34
2011;27;1;111;26
2011;27;2;103;30
2011;28;1;113;30
2011;28;2;85;38
2011;29;1;104;36
2011;29;2;101;51
2011;30;1;118;28
2011;30;2;80;58
2011;31;1;113;37
2011;31;2;117;63
2011;32;1;136;55
2011;32;2;123;75
2011;33;1;115;62
2011;33;2;125;62
2011;34;1;155;53
2011;34;2;112;76
2011;35;1;165;48
2011;35;2;113;81
2011;36;1;185;68
2011;36;2;130;90
2011;37;1;186;64
2011;37;2;168;102
2011;38;1;186;61
2011;38;2;164;105
2011;39;1;179;66
2011;39;2;141;155
2011;40;1;262;72
2011;40;2;199;167
